date,year,season,RONI
1990-10,1990,SON,0.4
1990-11,1990,OND,0.4
1990-12,1990,NDJ,0.5
1991-01,1991,DJF,0.6
1991-02,1991,JFM,0.5
1991-03,1991,FMA,0.4
1991-04,1991,MAM,0.4
1991-05,1991,AMJ,0.5
1991-06,1991,MJJ,0.7
1991-07,1991,JJA,0.8
1991-08,1991,JAS,0.8
1991-09,1991,ASO,0.9
1991-10,1991,SON,1.2
1991-11,1991,OND,1.7
1991-12,1991,NDJ,2.1
1992-01,1992,DJF,2.3
1992-02,1992,JFM,2.2
1992-03,1992,FMA,2.0
1992-04,1992,MAM,1.7
1992-05,1992,AMJ,1.4
1992-06,1992,MJJ,0.9
1992-07,1992,JJA,0.5
1992-08,1992,JAS,0.3
1992-09,1992,ASO,0.2
1992-10,1992,SON,0.1
1992-11,1992,OND,0.1
1992-12,1992,NDJ,0.3
1993-01,1993,DJF,0.5
1993-02,1993,JFM,0.7
1993-03,1993,FMA,0.9
1993-04,1993,MAM,1.0
1993-05,1993,AMJ,0.9
1993-06,1993,MJJ,0.7
1993-07,1993,JJA,0.5
1993-08,1993,JAS,0.5
1993-09,1993,ASO,0.5
1993-10,1993,SON,0.4
1993-11,1993,OND,0.3
1993-12,1993,NDJ,0.3
1994-01,1994,DJF,0.3
1994-02,1994,JFM,0.3
1994-03,1994,FMA,0.4
1994-04,1994,MAM,0.5
1994-05,1994,AMJ,0.6
1994-06,1994,MJJ,0.6
1994-07,1994,JJA,0.7
1994-08,1994,JAS,0.8
1994-09,1994,ASO,1.0
1994-10,1994,SON,1.1
1994-11,1994,OND,1.3
1994-12,1994,NDJ,1.4
1995-01,1995,DJF,1.3
1995-02,1995,JFM,1.0
1995-03,1995,FMA,0.7
1995-04,1995,MAM,0.4
1995-05,1995,AMJ,0.1
1995-06,1995,MJJ,-0.1
1995-07,1995,JJA,-0.3
1995-08,1995,JAS,-0.5
1995-09,1995,ASO,-0.7
1995-10,1995,SON,-0.9
1995-11,1995,OND,-0.9
